Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2021-09-09,3.765,1.817,114.88057,29.53742
2021-09-10,3.754,1.803,113.58452,29.06742
2021-09-13,3.804,1.841,115.53917,29.58948
2021-09-14,3.729,1.809,113.41613,28.76742
2021-09-15,3.725,1.799,114.3849,29.03016
2021-09-16,3.689,1.827,114.69927,29.34775
2021-09-17,3.761,1.827,114.70139,29.46097
2021-09-20,3.617,1.749,112.10789,28.66461
2021-09-21,3.598,1.75,111.97482,28.64149
2021-09-22,3.754,1.812,114.19468,29.40013
2021-09-23,3.769,1.84,117.26446,30.33103
2021-09-24,3.754,1.837,119.18129,30.80409
2021-09-27,3.859,1.878,121.82986,31.56282
2021-09-28,3.854,1.863,122.74945,31.89948
2021-09-29,3.935,1.878,123.61266,32.08194
2021-09-30,3.901,1.896,121.60315,31.53555
2021-10-01,3.887,1.879,123.24312,31.76757
2021-10-04,3.842,1.873,122.68519,31.84891
2021-10-05,3.93,1.946,123.6329,32.4146
2021-10-06,4.063,1.919,124.7012,32.63981
2021-10-07,4.161,1.937,124.86419,32.38878
2021-10-08,4.196,1.952,125.00551,32.56224
2021-10-11,4.308,1.977,122.43938,32.16752
2021-10-12,4.29,1.975,121.70457,32.04534
2021-10-13,4.246,1.929,118.01789,31.62293
2021-10-14,4.26,1.944,119.45195,32.93387
2021-10-15,4.342,1.978,121.10045,33.70403
2021-10-18,4.328,1.995,121.27722,33.69985
2021-10-19,4.321,1.995,122.17873,33.68848
2021-10-20,4.333,1.984,123.52856,34.04917
2021-10-21,4.348,1.969,122.83499,33.93724
2021-10-22,4.348,1.989,124.8855,34.58379
2021-10-25,4.431,2.006,124.23868,34.53013
2021-10-26,4.472,2.028,124.56395,34.85465
2021-10-27,4.447,1.995,122.07594,34.21589
2021-10-28,4.404,1.993,123.52088,34.64327
2021-10-29,4.415,2.023,124.25218,34.94478
2021-11-01,4.465,2.008,124.30454,35.02928
2021-11-02,4.446,1.985,125.17072,35.15677
2021-11-03,4.445,1.995,124.84809,35.41255
2021-11-04,4.335,1.915,124.73318,35.08005
2021-11-05,4.373,1.924,124.55529,34.81322
2021-11-08,4.342,1.924,124.69391,34.91665
2021-11-09,4.297,1.9,123.68596,34.55953
2021-11-10,4.313,1.928,124.5412,35.09176
2021-11-11,4.336,1.966,125.36275,35.51982
2021-11-12,4.342,1.953,124.31828,34.95008
2021-11-15,4.367,1.96,124.08552,35.05178
2021-11-16,4.4,1.958,123.1365,35.05846
2021-11-17,4.396,1.957,121.9109,34.47484
2021-11-18,4.39,1.953,120.79567,34.31619
2021-11-19,4.317,1.91,119.58977,33.7396
2021-11-22,4.369,1.947,122.7042,34.55278
2021-11-23,4.43,1.938,125.82623,35.51667
2021-11-24,4.434,1.934,125.31712,35.75021
2021-11-25,4.438,1.955,125.31712,35.75021
2021-11-26,4.141,1.817,121.44143,34.31828
2021-11-29,4.165,1.833,121.21645,34.27562
2021-11-30,4.194,1.842,119.74517,33.52684
2021-12-01,4.292,1.897,118.68751,32.95497
2021-12-02,4.316,1.872,121.1923,33.7468
2021-12-03,4.297,1.867,119.58148,33.14195
2021-12-06,4.373,1.871,120.83899,33.3107
2021-12-07,4.435,1.867,122.90769,33.80207
2021-12-08,4.403,1.859,121.40968,33.36103
2021-12-09,4.405,1.828,121.4502,33.67393
2021-12-10,4.387,1.825,120.45523,33.55442
2021-12-13,4.313,1.781,119.51866,32.98267
2021-12-14,4.347,1.801,120.29785,33.36105
2021-12-15,4.323,1.765,119.54284,33.25764
2021-12-16,4.483,1.821,120.43697,33.78632
2021-12-17,4.454,1.808,118.2113,33.08951
2021-12-20,4.418,1.786,116.52411,32.66974
2021-12-21,4.452,1.843,117.81267,33.35346
2021-12-22,4.446,1.858,117.31676,33.15116
2021-12-23,4.479,1.874,117.20078,33.10478
2021-12-24,4.477,1.874,117.20078,33.10478
2021-12-27,4.477,1.874,117.67857,33.21429
2021-12-28,4.477,1.874,118.07085,33.26883
2021-12-29,4.494,1.885,117.60866,33.1034
2021-12-30,4.486,1.881,117.51446,33.01943
2021-12-31,4.486,1.87,116.99298,32.87034
2022-01-03,4.486,1.87,120.03563,34.28105
2022-01-04,4.715,1.967,123.98788,35.45361
2022-01-05,4.683,1.979,120.52395,34.71926
2022-01-06,4.783,2.004,122.32651,35.57017
2022-01-07,4.823,2.053,123.09278,36.21502
2022-01-10,4.92,2.079,123.36504,36.07609
2022-01-11,4.95,2.07,123.00066,36.13865
2022-01-12,5.012,2.118,122.88612,35.64602
2022-01-13,5.13,2.171,122.67921,35.5575
2022-01-14,5.166,2.155,115.61951,35.08348
2022-01-17,5.19,2.148,115.61951,35.08348
2022-01-18,5.16,2.098,111.41637,34.07233
2022-01-19,5.125,2.069,109.2984,34.0819
2022-01-20,5.103,2.056,108.35841,33.57305
2022-01-21,5.054,1.992,107.01483,33.13417
2022-01-24,4.922,1.904,107.72146,33.10791
2022-01-25,5.094,1.967,108.55682,33.65684
2022-01-26,5.227,2.022,109.3921,33.94468
2022-01-27,5.383,2.036,108.65924,34.00135
2022-01-28,5.283,1.969,109.50034,34.25947
2022-01-31,5.276,1.972,110.59016,34.33802
2022-02-01,5.435,2.011,111.91322,34.75492
2022-02-02,5.464,2.031,110.42863,34.5338
2022-02-03,5.463,2.044,109.27396,34.11964
2022-02-04,5.45,2.006,112.71518,35.67048
2022-02-07,5.569,2.05,113.24258,35.88814
2022-02-08,5.635,2.062,115.14324,36.45895
